,indice,page_number,line_number,text,text_type,speaker,time_added
2664,7285,281,5,"Look, Rajesh Pai was working as a temp and sort of a personal relationship at that time with him, and I don't recall having any kind of work-related conversation with Rajesh, let alone specific about Abacus.  He's working with, it appears to be, at that time, Tereza. And if I said, in this instance Abacus, it could be the top one at that time on the list from alphabetical order, for instance -- just by looking at these documents, that would have been my guess. It also says, in the back it says Rajesh seems to think I asked him to do '14 stuff, it appears.  I didn't remember that either.  So no.",a,THE WITNESS,start_question
2665,7301,281,21,"Looking at this, do you have any recollection as to whether this e-mail chain relates to the IT project that you mentioned earlier?",q,MR. CROKE,start_answer
2666,7305,281,25,"It could have been, yes.",a,THE WITNESS,start_answer
2667,7307,282,1,Mathur - Attorneys' Eyes Only,a,THE WITNESS,start_question
2668,7308,282,2,"Okay. But you don't have a specific recollection, one way or the other?",q,MR. CROKE,start_answer
2669,7311,282,5,No.  He's working with another person on the IT side.,a,THE WITNESS,start_question
2670,7313,282,7,And who was he working with?,q,MR. CROKE,start_answer
2671,7314,282,8,"I'm trying to recollect the name, but I forget now.  Something that starts with R, Ripps or something like that.",a,THE WITNESS,start_question
2672,7317,282,11,"And the documents we just looked at, Exhibit 5 and Exhibit 4, first where he's sending you an e-mail on January 9th with these attachments and then second this document from January 10, 2014, do you have an understanding as to whether either of these documents were related to IT project that you mentioned earlier?",q,MR. CROKE,start_answer
2673,7325,282,19,"It could have been, yeah.",a,THE WITNESS,start_question
2674,7326,282,20,"Okay. Turn back to Exhibit 3, the chart of the Abacus 2006-10 valuations.",q,MR. CROKE,start_answer
2675,7329,282,23,Yeah.,a,THE WITNESS,start_question
2676,7330,282,24,"So if you look at December 2013, the row up here on the left, and then",q,MR. CROKE,start_answer
2677,7333,283,1,"Mathur - Attorneys' Eyes Only continue down through March 2014, June 2014 and September 2014, do you see that for each of those periods the price remains at 38.26?",a,THE WITNESS,start_answer
2678,7338,283,6,"Correct, I see that.",a,THE WITNESS,start_question
2679,7339,283,7,"And then you see in the next row labeled December '14, the price is listed as 30.5?",q,MR. CROKE,start_answer
2680,7342,283,10,Uh-huh.,a,THE WITNESS,start_question
2681,7343,283,11,Do you recall why Astra's valuation of the Abacus 2006-10 securities declined from 38.26 to 30.5 between those two periods?,q,MR. CROKE,start_chat
2682,7347,283,15,Objection.,side_chat,MR. ITKIN,start_answer
2683,7348,283,16,"I think I've answered that question on a such number of occasions in the past.  The valuation that Astra carried out in the past in my opinion is based on the valuation policy that would have been outstanding at that time.  Usually, it's a document that is an active document that is meant to be followed in a pedantic fashion.",a,THE WITNESS,start_question
2684,7356,283,24,"And during that period between December -- September, end of September",q,MR. CROKE,start_answer
2685,7359,284,1,Mathur - Attorneys' Eyes Only 2014 and the end of December 2014 --,a,THE WITNESS,start_answer
2686,7361,284,3,"September '14 and December '14, yeah.",a,THE WITNESS,start_question
2687,7363,284,5,"Astra entered into two trades with respect to the Abacus 2006-10 securities, right, a sale at 52.5 and a purchase at 30.5?",q,MR. CROKE,start_answer
2688,7367,284,9,You're right.  I think so.  Did you give me a document about that?,a,THE WITNESS,start_question
2689,7369,284,11,"Yeah, you have Exhibit 2.",q,MR. CROKE,start_answer
2690,7370,284,12,"Exhibit 5, 4, 3 and 2.  Yeah, go back to the question, please?",a,THE WITNESS,start_question
2691,7372,284,14,"Sure. So during this period between September, end of September 2014 and the end of December 2014, Astra entered into two trades, a sale at a price of 52.5 and a purchase at a price 30.5.",q,MR. CROKE,start_answer
2692,7378,284,20,Correct.,a,THE WITNESS,start_question
2693,7379,284,21,Do you have an understanding as to why the valuation changed -- that Astra's valuation of the Abacus 2006-10 securities changed from 38.26 to 30.5 to match the price that Astra paid to purchase,q,MR. CROKE,start_answer
2694,7385,285,1,Mathur - Attorneys' Eyes Only the Abacus 2006-10 securities?,a,THE WITNESS,start_chat
2695,7387,285,3,Objection.,side_chat,MR. ITKIN,start_answer
2696,7388,285,4,"It would seem so, but I would answer the same question as I said before. It would have followed a valuation procedures at this time and if the valuation procedure came up at 30.5, then that is what it would have been.",a,THE WITNESS,start_question
2697,7394,285,10,"Okay. And looking at this now, do you have any understanding as to why it might be that the price would not appear to reflect the 52.5 price that Astra sold the Abacus 2006-10 securities for during that period?",q,MR. CROKE,start_answer
2698,7401,285,17,Do I have any understanding?,a,THE WITNESS,start_question
2699,7402,285,18,Uh-huh.,q,MR. CROKE,start_answer
2700,7403,285,19,Could you be more specific?  What does that mean?,a,THE WITNESS,start_question
2701,7405,285,21,"Sure. So at the end of September 2014, the valuation was 38.24.",q,MR. CROKE,start_answer
2702,7408,285,24,Uh-huh.,a,THE WITNESS,start_question
2703,7409,285,25,"At the end of December 2014, it",q,MR. CROKE,start_answer
2704,7411,286,1,Mathur - Attorneys' Eyes Only was 30.5?,a,THE WITNESS,start_answer
2705,7413,286,3,Uh-huh.,a,THE WITNESS,start_question
2706,7414,286,4,"In that intervening period, there were two trades, a purchase of 30.5 and a sale at 52.5.",q,MR. CROKE,start_answer
2707,7417,286,7,Yeah.,a,THE WITNESS,start_question
2708,7418,286,8,"I'm just asking whether you have any understanding as to why it might be that the valuation would decline and be at the same level as the purchase, but not, for example, increase to the same level as the sale.",q,MR. CROKE,start_answer
2709,7424,286,14,"As I said, it depends on the valuation policy effective at that time.",a,THE WITNESS,start_chat
2710,7426,286,16,Objection.,side_chat,MR. ITKIN,start_question
2711,7428,286,18,And is that because securities of the type of the Abacus 2006-10 securities would typically be marked to bid rather than to offer?,q,MR. CROKE,start_answer
2712,7432,286,22,"I don't know how else to answer this, but I've said that before the valuation is the valuation according to the policy that we have in place and there is a",a,THE WITNESS,start_answer
2713,7437,287,1,"Mathur - Attorneys' Eyes Only sequence of a lot of things that are in there.  For example, the most recent trading price is a factor, if that's what you're asking me.  And if that is the case, it has to go through that determination amongst all those list of those factors.",a,THE WITNESS,start_question
2714,7444,287,8,Uh-huh.,q,MR. CROKE,start_answer
2715,7445,287,9,"As a Valuation Committee member, I'm one of the multiple members that are out there.  A determination is made by the committee at that time.  Multiple factors would have been taken into account, including the factors available at that time.  Do I have a recollection?  No.",a,THE WITNESS,start_question
2716,7452,287,16,"Okay. If you continue down this chart, do you see that the valuation for the Abacus 2006-10 securities is listed as 30.5 for December '14, March '15, June '15 and September '15?",q,MR. CROKE,start_answer
2717,7458,287,22,Yes.,a,THE WITNESS,start_question
2718,7459,287,23,"And then in December '15, the price is labeled as 33?",q,MR. CROKE,start_answer
